"product_name","category","colors_count","price"
"Nike Air Force 1 '07","Men's Shoes","2 Colours","Rp 1,549,000"
"Nike Air Force 1 '07","Men's Shoes","5 Colours","Rp 1,729,000"
"Nike Air Max AP","Men's Shoes","5 Colours","Rp 1,429,000"
"NikeCourt Legacy Next Nature","Men's Shoes","1 Colour","Rp 889,000"
"Nike Air Max 90","Men's Shoe","3 Colours","Rp 1,799,000"
"Nike Air Force 1 '07 EasyOn","Shoes","1 Colour","Rp 1,729,000"
"Nike Air Huarache Runner","Men's Shoes","3 Colours","Rp 2,199,000"
"Jordan Max Aura 5","Men's Shoes","2 Colours","Rp 2,099,000"
"Freak 5 EP","Basketball Shoes","1 Colour","Rp 1,939,000"
"Nike Air Max Plus III","Men's Shoes","1 Colour","Rp 2,989,000"
"Nike ACG Mountain Fly 2 Low","Men's Shoes","5 Colours","Rp 2,379,000"
"Nike Air Force 1 '07","Shoes","1 Colour","Rp 1,729,000"
"Nike Air Force 1 '07 LV8","Men's Shoes","2 Colours","Rp 1,909,000"
"Nike Waffle Debut SE","Men's shoes","2 Colours","Rp 1,149,000"
"Nike Metcon 9 AMP","Men's Training Shoes","1 Colour","Rp 2,199,000"
"Nike Air Trainer 1","Men's Shoes","1 Colour","Rp 2,099,000"
"Nike Air Huarache Runner","Men's Shoes","1 Colour","Rp 2,199,000"
"Nike Go FlyEase","Easy On/Off Shoes","3 Colours","Rp 2,059,000"
"Air Jordan 1 Retro High OG","Men's Shoes","4 Colours","Rp 2,418,000"
"Nike SB Force 58 Premium","Skate Shoe","2 Colours","Rp 1,169,000"
"Air Jordan 1 Low x Eastside Golf","Men's Shoes","1 Colour","Rp 2,059,000"
"Air Jordan 1 Low","Men's Shoes","2 Colours","Rp 1,729,000"
"Nike Dunk Low Retro SE","Men's Shoes","1 Colour","Rp 1,729,000"
"Air Jordan 11 Retro Low","Men's Shoes","1 Colour","Rp 3,049,000"
"Nike SB Force 58","Skate Shoe","2 Colours","Rp 1,099,000"
"Nike Air Force 1 Low By You","Custom Men's Shoes","8 Colours","Rp 1,909,000"
"Nike Dunk Low","Men's Shoes","1 Colour","Rp 1,909,000"
"Nike Air Presto","Men's Shoes","3 Colours","Rp 1,678,000"
"Nike Cortez","Men's Shoes","2 Colours","Rp 1,299,000"
